"b1_08","educ_level"
0,"Reads in class I"
1,"Completed class I"
2,"Completed class II"
3,"Completed class III"
4,"Completed class IV"
5,"Completed class V"
6,"Completed class VI"
7,"Completed class VII"
8,"Completed class VIII"
9,"Completed class IX"
10,"SSC/ Dakhil"
12,"HSC/Alim"
14,"BA/BSC Pass/Fazil"
15,"BA/BSC Honours/Fazil"
16,"MA/MSC and above Kamil"
22,"SSC Candidate"
33,"HSC Candidate"
66,"Any class before Class I (General)"
67,"Mosque based child Class"
72,"Nursing"
73,"Engineer"
74,"Diploma Enginee"
75,"Vocational (Scolarship based /Technical Education"
76,"Others(specify)"
99,"Never attended school"
NA,NA
